變數,係數,標準誤,z值,p值,Odds_Ratio,CI_下界,CI_上界,OR_CI_下界,OR_CI_上界,顯著,星號
const,-0.4921421521519765,0.015998202109716985,-30.762341216645794,8.362389615056949e-208,0.6113154598474648,-0.5234980521044145,-0.4607862521995385,0.5924445172649608,0.6307874924283979,True,***
Cluster_Eastern,0.10851510026663758,0.01384363428508849,7.838628067741096,4.554955147632668e-15,1.1146217394967313,0.08138207565272024,0.13564812488055492,1.0847852874441484,1.1452788275603205,True,***
Cluster_Southern,0.007165696205060205,0.009823977133839082,0.7294088847558163,0.465751584591962,1.0071914312392003,-0.012088945162209423,0.02642033757232983,0.9879838325714768,1.0267724488176564,False,
Review_age,-0.003413384508271305,0.0003997410856829954,-8.538988436575679,1.354019245010487e-17,0.9965924344659477,-0.004196862639350916,-0.002629906377191694,0.9958119318812226,0.9973735487969928,True,***
Review_political,-0.037263759337962846,0.014786612502872262,-2.520101161149956,0.011732111127392008,0.9634219902876231,-0.06624498729694214,-0.008282531378983545,0.9359015522120121,0.9917516742824054,True,*
Review_religious,-0.07192573869244749,0.012706809170405295,-5.660409134022854,1.5101253199851632e-08,0.930600000818129,-0.09683062702486515,-0.04702085036002983,0.9077097346124904,0.9540675047320188,True,***
