變數,類型,檢定方法,統計量,p值,效果量,效果解釋,顯著,樣本數
is_lawful,類別(2),t檢定,t = -658.866,0.0,-2.1458003036322206,大效果,✓,377116
is_majority,類別(2),t檢定,t = 166.342,0.0,0.541745195170778,中等效果,✓,377116
lawful_vs_majority_conflict,類別(2),t檢定,t = -162.774,0.0,-0.5294322534280799,中等效果,✓,377116
