模型,Log-Likelihood,AIC,BIC,ICC,最佳_AIC,最佳_BIC
Null Model,-215468.1417766721,430942.2835533442,430974.2859651501,0.1435413076616472,False,False
Random Intercept,-215417.7193131526,430849.4386263052,430924.1109205189,,True,True
