變數,VIF,判定
Cluster_Eastern,1.15459650020218,✓ 良好
Cluster_Southern,1.0048575032357563,✓ 良好
political_centered,1.4216864769342155,✓ 良好
age_centered,1.019298667193171,✓ 良好
religious_centered,1.1034358620811628,✓ 良好
Cluster_Eastern_x_political_centered,1.258693344109272,✓ 良好
Cluster_Southern_x_political_centered,1.2080659858940261,✓ 良好
age_centered_x_religious_centered,1.0128833590256725,✓ 良好
