metric,value,cv_mean,cv_std
Accuracy,0.6102744846737157,0.6083569073768812,0.002078229871505137
Precision,0.5971451229183188,0.6032299845261105,0.002385882674370342
Recall,0.4417458641323478,0.43848260320546,0.002454672039306624
F1 Score,0.507823037496628,0.5021821543070195,0.0020196324112815404
ROC-AUC,0.6429334791196186,0.636370365697888,0.002228385228548209
