觀測次數,使用者數,極端比例,一致性均值,效益主義均值
1次,63579,1.0,1.0,0.5502445776121047
2次,5384,0.7338410104011887,0.8669205052005944,0.5480126300148589
3次以上,184,0.5163043478260869,0.7718183661098275,0.49669384057971017
