層級,分類,平均守法率,標準差,最小值,最大值,樣本數
全球,Overall,0.349,0.477,0.000,1.000,"377,116"
文化圈,Western,0.346,0.476,0.000,1.000,"278,830"
文化圈,Eastern,0.371,0.483,0.000,1.000,"29,748"
文化圈,Southern,0.349,0.477,0.000,1.000,"68,538"
