特徵,平均值,標準差,最小值,最大值,總和
is_lawful,0.500,0.500,0,1,"188,796"
is_majority,0.500,0.500,0,1,"188,796"
chose_lawful,0.349,0.477,0,1,"131,622"
chose_majority,0.373,0.484,0,1,"140,725"
lawful_vs_majority_conflict,0.496,0.500,0,1,"187,358"
